GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lattices,org.thegalactic.io,Filer,0,62,1,1,0,17,1,6,0,6
lattices,org.thegalactic.io,IOFactory,26,53,0,0,6,12,2,5,2,5
lattices,org.thegalactic.rule,ImplicationalSystem,150,1627,37,173,38,346,31,120,1,45
lattices,org.thegalactic.rule,Rule,0,179,1,15,0,37,1,23,0,16
lattices,org.thegalactic.rule,AssociationRule,55,0,0,0,17,0,8,0,8,0
lattices,org.thegalactic.lattice.io,ImplicationalSystemIOFactory,0,13,0,0,0,8,0,4,0,4
lattices,org.thegalactic.lattice.io,ConceptLatticeIOFactory,0,13,0,0,0,8,0,4,0,4
lattices,org.thegalactic.lattice.io,ArrowRelationIOFactory,0,13,0,0,0,8,0,4,0,4
lattices,org.thegalactic.lattice.io,ConceptLatticeSerializerDot,16,136,3,11,3,35,3,9,0,5
lattices,org.thegalactic.lattice.io,ImplicationalSystemSerializerText,0,131,3,19,0,40,3,14,0,6
lattices,org.thegalactic.lattice.io,ArrowRelationSerializerTeX,3,177,1,15,1,49,1,14,0,7
lattices,org.thegalactic.context.constraint.categorical,CategoricalStorage,0,237,0,30,0,52,0,24,0,9
lattices,org.thegalactic.context.constraint.categorical,CategoricalValue,0,68,0,4,0,15,0,10,0,8
lattices,org.thegalactic.context.constraint.categorical,CategoricalModel,0,174,1,17,0,44,1,19,0,11
lattices,org.thegalactic.context.constraint.categorical,CategoricalAttribute,0,60,0,2,0,16,0,10,0,9
lattices,org.thegalactic.context.constraint.numerical,NumericalStorage,0,461,0,28,0,73,0,33,0,19
lattices,org.thegalactic.util,ComparableSet,0,92,0,14,0,26,0,11,0,4
lattices,org.thegalactic.util,Couple,20,41,2,2,1,12,3,7,1,7
lattices,org.thegalactic.context.io,ContextSerializerFIMI,0,158,0,12,0,34,0,12,0,6
lattices,org.thegalactic.context.io,ContextSerializerSLF,15,275,3,23,3,70,3,16,0,6
lattices,org.thegalactic.context.io,ContextIOFactory,0,17,0,0,0,12,0,4,0,4
lattices,org.thegalactic.context.io,ContextSerializerBurmeister,14,245,1,23,4,61,1,18,0,7
lattices,org.thegalactic.context.io,ContextSerializerText,30,212,8,20,6,47,8,17,0,11
lattices,org.thegalactic.context.io,ContextSerializerCsv,0,241,0,34,0,59,0,23,0,6
lattices,org.thegalactic.dgraph.io,DGraphSerializerDot,0,105,1,5,0,29,1,8,0,6
lattices,org.thegalactic.dgraph.io,DGraphIOFactory,0,13,0,0,0,8,0,4,0,4
lattices,org.thegalactic.dgraph,AbstractDGraph,0,191,0,14,0,37,0,14,0,7
lattices,org.thegalactic.dgraph,ConcreteDGraph.Edges,22,22,0,0,6,6,6,4,6,4
lattices,org.thegalactic.dgraph,AbstractDGraph.Sinks,0,14,0,0,0,4,0,2,0,2
lattices,org.thegalactic.dgraph,AbstractDGraph.AbstractEndsIterator,4,55,0,4,1,17,1,8,1,6
lattices,org.thegalactic.dgraph,DAGraph,0,461,1,39,0,103,1,31,0,12
lattices,org.thegalactic.dgraph,AbstractDGraph.Wells,0,14,0,0,0,4,0,2,0,2
lattices,org.thegalactic.dgraph,Edge,0,140,2,12,0,32,2,17,0,12
lattices,org.thegalactic.dgraph,AbstractDGraph.AbstractEnds,20,29,0,2,5,12,5,5,5,4
lattices,org.thegalactic.dgraph,AbstractDGraph.Wells.WellsIterator,0,17,0,0,0,4,0,2,0,2
lattices,org.thegalactic.dgraph,DAGraphFactory,0,140,0,20,0,27,0,16,0,6
lattices,org.thegalactic.dgraph,Node,0,91,2,10,0,21,2,15,0,11
lattices,org.thegalactic.dgraph,ConcreteDGraph.Edges.EdgesIterator,4,62,0,6,1,15,1,7,1,4
lattices,org.thegalactic.dgraph,AbstractDGraph.Sinks.SinksIterator,0,17,0,0,0,4,0,2,0,2
lattices,org.thegalactic.dgraph,ConcreteDGraph,51,1341,20,128,10,272,17,99,0,42
lattices,org.thegalactic.dgraph,DGraphFactory,5,66,0,8,1,15,1,8,1,4
lattices,org.thegalactic.context.constraint.binary,BinaryStorage,0,137,0,16,0,29,0,18,0,10
lattices,org.thegalactic.context,Context,240,2257,62,202,43,459,54,131,4,49
lattices,org.thegalactic.lattice,ArrowRelation,2,448,2,60,0,85,2,41,0,12
lattices,org.thegalactic.lattice,LatticeFactory,0,794,0,82,0,153,0,49,0,8
lattices,org.thegalactic.lattice,Lattice,242,1855,44,188,48,387,37,113,1,33
lattices,org.thegalactic.lattice,ClosureSystem,6,454,2,48,1,96,2,30,0,7
lattices,org.thegalactic.lattice,ConceptLattice,313,1579,56,198,74,330,47,108,2,26
lattices,org.thegalactic.lattice,BijectiveComponents,0,517,0,14,0,103,0,27,0,20
lattices,org.thegalactic.lattice,LatticeFactory.Permutation,45,69,7,9,10,16,7,9,3,5
lattices,org.thegalactic.lattice,Concept,69,929,19,115,17,212,16,81,0,30
